 
log File 
 
User : hannuo 
2021/10/15 周五 
11:28
 
Process Ran by hannuo 
 

映像名称                       PID 会话名              会话#       内存使用 
TabTip.exe                   12960 Console                    1     17,320 K
firefox.exe                  16788 Console                    1    397,436 K
firefox.exe                  17332 Console                    1    196,824 K
firefox.exe                  17328 Console                    1     17,088 K
firefox.exe                  17036 Console                    1     94,048 K
SogouCloud.exe                4640 Console                    1     29,300 K
firefox.exe                  13560 Console                    1     80,984 K
CompPkgSrv.exe               12444 Console                    1      9,804 K
firefox.exe                  11704 Console                    1     29,532 K
firefox.exe                  13160 Console                    1     61,108 K
firefox.exe                  14760 Console                    1     97,952 K
AMDRSSrcExt.exe              12576 Console                    1     53,208 K
DrvMgr.exe                    2480 Console                    1     57,916 K
firefox.exe                  17580 Console                    1    157,344 K
firefox.exe                  17436 Console                    1     36,164 K
Code.exe                     17796 Console                    1    116,724 K
Code.exe                     17896 Console                    1     25,984 K
Code.exe                     18148 Console                    1    133,720 K
Code.exe                     18072 Console                    1     39,256 K
Code.exe                     17944 Console                    1    182,588 K
Code.exe                     11168 Console                    1    152,716 K
Code.exe                     17524 Console                    1     84,312 K
Code.exe                     17552 Console                    1     69,612 K
Code.exe                     13352 Console                    1     69,016 K
java.exe                     18936 Console                    1    167,408 K
conhost.exe                  19060 Console                    1     11,284 K
SearchFilterHost.exe         19284 Services                   0     10,788 K
SearchProtocolHost.exe       18720 Services                   0     15,656 K
Code.exe                     18868 Console                    1    176,452 K
Code.exe                     15912 Console                    1    158,992 K
Code.exe                     19448 Console                    1     76,468 K
Code.exe                     19292 Console                    1    111,144 K
CodeSetup-stable-c13f1abb    19036 Console                    1     12,112 K
CodeSetup-stable-c13f1abb     9672 Console                    1     48,356 K
dllhost.exe                  18508 Console                    1     11,652 K
svchost.exe                  19032 Services                   0     11,032 K
cmd.exe                      19300 Console                    1      5,364 K
conhost.exe                  17740 Console                    1     28,868 K
tasklist.exe                 18880 Console                    1      9,780 K
 
Network Activties 

IPv4 统计信息

  接收的数据包                   = 96686
  接收的标头错误             = 0
  接收的地址错误            = 0
  转发的数据报                = 0
  接收的未知协议         = 0
  丢弃的接收数据包         = 9
  传送的接收数据包         = 128146
  输出请求                    = 92309
  路由丢弃                   = 0
  丢弃的输出数据包           = 2102
  输出数据包无路由             = 73
  需要重新组合                = 3
  重新组合成功              = 1
  重新组合失败                = 0
  数据报分段成功  = 0
  数据报分段失败    = 0
  分段已创建                  = 0

IPv6 统计信息

  接收的数据包                   = 0
  接收的标头错误             = 0
  接收的地址错误            = 0
  转发的数据报                = 0
  接收的未知协议         = 0
  丢弃的接收数据包         = 0
  传送的接收数据包         = 1686
  输出请求                    = 2165
  路由丢弃                   = 0
  丢弃的输出数据包           = 0
  输出数据包无路由             = 0
  需要重新组合                = 0
  重新组合成功              = 0
  重新组合失败                = 0
  数据报分段成功  = 0
  数据报分段失败    = 0
  分段已创建                  = 0

ICMPv4 统计信息

                            已接收    已发送
  消息                  338         339       
  错误                    0           0         
  目标不可达   337         339       
  超时             0           0         
  参数问题        0           0         
  源抑制           0           0         
  重定向                 0           0         
  回显回复              0           0         
  回显                     1           0         
  时间戳                0           0         
  时间戳回复         0           0         
  地址掩码             0           0         
  地址掩码回复      0           0         
  路由器请求      0           0         
  路由器播发     0           0         

ICMPv6 统计信息

                            已接收    已发送
  消息                  0           30        
  错误                    0           0         
  目标不可达   0           0         
  数据包太大            0           0         
  超时             0           0         
  参数问题        0           0         
  回显                     0           0         
  回显回复              0           0         
  MLD 查询               0           0         
  MLD 报告               0           0         
  MLD 已完成                 0           0         
  路由器请求      0           18        
  路由器播发     0           0         
  邻居请求    0           6         
  邻居播发   0           6         
  重定向                 0           0         
  路由器重新编号       0           0         

IPv4 的 TCP 统计信息

  主动开放                        = 641
  被动开放                       = 32
  失败的连接尝试          = 138
  重置连接                   = 48
  当前连接                 = 108
  接收的分段                   = 125385
  发送的分段                       = 65888
  重新传输的分段              = 0

IPv6 的 TCP 统计信息

  主动开放                        = 4
  被动开放                       = 3
  失败的连接尝试          = 1
  重置连接                   = 0
  当前连接                 = 0
  接收的分段                   = 56
  发送的分段                       = 26
  重新传输的分段              = 0

IPv4 的 UDP 统计信息

  接收的数据报    = 3024
  无端口              = 11
  接收错误        = 0
  发送的数据报        = 4668

IPv6 的 UDP 统计信息

  接收的数据报    = 1638
  无端口              = 0
  接收错误        = 0
  发送的数据报        = 1652

Windows IP 配置

   主机名  . . . . . . . . . . . . . : MIKU-20191126HL
   主 DNS 后缀 . . . . . . . . . . . : 
   节点类型  . . . . . . . . . . . . : 混合
   IP 路由已启用 . . . . . . . . . . : 否
   WINS 代理已启用 . . . . . . . . . : 否
   DNS 后缀搜索列表  . . . . . . . . : www.tendawifi.com

以太网适配器 以太网 2:

   媒体状态  . . . . . . . . . . . . : 媒体已断开连接
   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : Microsoft KM-TEST Loopback Adapter
   物理地址. . . . . . . . . . . . . : 00-FF-9C-83-9F-B3
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是

以太网适配器 VMware Network Adapter VMnet1:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet1
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-01
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::3166:9ab5:7afe:f555%14(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.1.5(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   默认网关. . . . . . . . . . . . . : 0.0.0.0
                                       192.168.1.1
   DNS 服务器  . . . . . . . . . . . : fec0:0:0:ffff::1%1
